userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000140600	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	6457	https://www.ncbi.nlm.nih.gov/gene/?term=6457
ENSG00000215146	LOC441666	NA	441666	https://www.ncbi.nlm.nih.gov/gene/?term=441666
ENSG00000172014	ANKRD20A4	ankyrin repeat domain 20 family member A4	728747	https://www.ncbi.nlm.nih.gov/gene/?term=728747
ENSG00000183148	ANKRD20A2	ankyrin repeat domain 20 family member A2	441430	https://www.ncbi.nlm.nih.gov/gene/?term=441430
ENSG00000276203	ANKRD20A3	ankyrin repeat domain 20 family member A3	441425	https://www.ncbi.nlm.nih.gov/gene/?term=441425
ENSG00000276203	ANKRD20A2	ankyrin repeat domain 20 family member A2	441430	https://www.ncbi.nlm.nih.gov/gene/?term=441430
ENSG00000260691	ANKRD20A1	ankyrin repeat domain 20 family member A1	84210	https://www.ncbi.nlm.nih.gov/gene/?term=84210
ENSG00000145284	SCD5	stearoyl-CoA desaturase 5	79966	https://www.ncbi.nlm.nih.gov/gene/?term=79966
ENSG00000186994	KANK3	KN motif and ankyrin repeat domains 3	256949	https://www.ncbi.nlm.nih.gov/gene/?term=256949
ENSG00000170276	HSPB2	heat shock protein family B (small) member 2	3316	https://www.ncbi.nlm.nih.gov/gene/?term=3316
ENSG00000158486	DNAH3	dynein axonemal heavy chain 3	55567	https://www.ncbi.nlm.nih.gov/gene/?term=55567
ENSG00000160307	S100B	S100 calcium binding protein B	6285	https://www.ncbi.nlm.nih.gov/gene/?term=6285
ENSG00000124615	MOCS1	molybdenum cofactor synthesis 1	4337	https://www.ncbi.nlm.nih.gov/gene/?term=4337
ENSG00000167641	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	94274	https://www.ncbi.nlm.nih.gov/gene/?term=94274
ENSG00000138685	FGF2	fibroblast growth factor 2	2247	https://www.ncbi.nlm.nih.gov/gene/?term=2247
ENSG00000122707	RECK	reversion inducing cysteine rich protein with kazal motifs	8434	https://www.ncbi.nlm.nih.gov/gene/?term=8434
ENSG00000105538	RASIP1	Ras interacting protein 1	54922	https://www.ncbi.nlm.nih.gov/gene/?term=54922
ENSG00000182263	FIGN	fidgetin, microtubule severing factor	55137	https://www.ncbi.nlm.nih.gov/gene/?term=55137
ENSG00000079482	OPHN1	oligophrenin 1	4983	https://www.ncbi.nlm.nih.gov/gene/?term=4983
ENSG00000154134	ROBO3	roundabout guidance receptor 3	64221	https://www.ncbi.nlm.nih.gov/gene/?term=64221
ENSG00000173320	STOX2	storkhead box 2	56977	https://www.ncbi.nlm.nih.gov/gene/?term=56977
ENSG00000111879	FAM184A	family with sequence similarity 184 member A	79632	https://www.ncbi.nlm.nih.gov/gene/?term=79632
ENSG00000146833	TRIM4	tripartite motif containing 4	89122	https://www.ncbi.nlm.nih.gov/gene/?term=89122
