userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000003096	KLHL13	kelch like family member 13	90293	https://www.ncbi.nlm.nih.gov/gene/?term=90293
ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1	56603	https://www.ncbi.nlm.nih.gov/gene/?term=56603
ENSG00000003436	TFPI	tissue factor pathway inhibitor	7035	https://www.ncbi.nlm.nih.gov/gene/?term=7035
ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5	340273	https://www.ncbi.nlm.nih.gov/gene/?term=340273
ENSG00000005102	MEOX1	mesenchyme homeobox 1	4222	https://www.ncbi.nlm.nih.gov/gene/?term=4222
ENSG00000005381	MPO	myeloperoxidase	4353	https://www.ncbi.nlm.nih.gov/gene/?term=4353
ENSG00000005513	SOX8	SRY-box 8	30812	https://www.ncbi.nlm.nih.gov/gene/?term=30812
ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1	6376	https://www.ncbi.nlm.nih.gov/gene/?term=6376
ENSG00000007062	PROM1	prominin 1	8842	https://www.ncbi.nlm.nih.gov/gene/?term=8842
ENSG00000007216	SLC13A2	solute carrier family 13 member 2	9058	https://www.ncbi.nlm.nih.gov/gene/?term=9058
ENSG00000009694	TENM1	teneurin transmembrane protein 1	10178	https://www.ncbi.nlm.nih.gov/gene/?term=10178
ENSG00000010319	SEMA3G	semaphorin 3G	56920	https://www.ncbi.nlm.nih.gov/gene/?term=56920
ENSG00000013297	CLDN11	claudin 11	5010	https://www.ncbi.nlm.nih.gov/gene/?term=5010
ENSG00000016602	CLCA4	chloride channel accessory 4	22802	https://www.ncbi.nlm.nih.gov/gene/?term=22802
ENSG00000025039	RRAGD	Ras related GTP binding D	58528	https://www.ncbi.nlm.nih.gov/gene/?term=58528
ENSG00000034239	EFCAB1	EF-hand calcium binding domain 1	79645	https://www.ncbi.nlm.nih.gov/gene/?term=79645
ENSG00000046653	GPM6B	glycoprotein M6B	2824	https://www.ncbi.nlm.nih.gov/gene/?term=2824
ENSG00000052850	ALX4	ALX homeobox 4	60529	https://www.ncbi.nlm.nih.gov/gene/?term=60529
ENSG00000054598	FOXC1	forkhead box C1	2296	https://www.ncbi.nlm.nih.gov/gene/?term=2296
ENSG00000064300	NGFR	nerve growth factor receptor	4804	https://www.ncbi.nlm.nih.gov/gene/?term=4804
ENSG00000065371	ROPN1	rhophilin associated tail protein 1	54763	https://www.ncbi.nlm.nih.gov/gene/?term=54763
ENSG00000065618	COL17A1	collagen type XVII alpha 1 chain	1308	https://www.ncbi.nlm.nih.gov/gene/?term=1308
ENSG00000069702	TGFBR3	transforming growth factor beta receptor 3	7049	https://www.ncbi.nlm.nih.gov/gene/?term=7049
ENSG00000070526	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	55808	https://www.ncbi.nlm.nih.gov/gene/?term=55808
ENSG00000071991	CDH19	cadherin 19	28513	https://www.ncbi.nlm.nih.gov/gene/?term=28513
ENSG00000072041	SLC6A15	solute carrier family 6 member 15	55117	https://www.ncbi.nlm.nih.gov/gene/?term=55117
ENSG00000073282	TP63	tumor protein p63	8626	https://www.ncbi.nlm.nih.gov/gene/?term=8626
ENSG00000073792	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644	https://www.ncbi.nlm.nih.gov/gene/?term=10644
ENSG00000075035	WSCD2	WSC domain containing 2	9671	https://www.ncbi.nlm.nih.gov/gene/?term=9671
ENSG00000076555	ACACB	acetyl-CoA carboxylase beta	32	https://www.ncbi.nlm.nih.gov/gene/?term=32
ENSG00000077264	PAK3	p21 (RAC1) activated kinase 3	5063	https://www.ncbi.nlm.nih.gov/gene/?term=5063
ENSG00000077274	CAPN6	calpain 6	827	https://www.ncbi.nlm.nih.gov/gene/?term=827
ENSG00000078399	HOXA9	homeobox A9	3205	https://www.ncbi.nlm.nih.gov/gene/?term=3205
ENSG00000078401	EDN1	endothelin 1	1906	https://www.ncbi.nlm.nih.gov/gene/?term=1906
ENSG00000078549	ADCYAP1R1	ADCYAP receptor type I	117	https://www.ncbi.nlm.nih.gov/gene/?term=117
ENSG00000078596	ITM2A	integral membrane protein 2A	9452	https://www.ncbi.nlm.nih.gov/gene/?term=9452
ENSG00000079308	TNS1	tensin 1	7145	https://www.ncbi.nlm.nih.gov/gene/?term=7145
ENSG00000081041	CXCL2	C-X-C motif chemokine ligand 2	2920	https://www.ncbi.nlm.nih.gov/gene/?term=2920
ENSG00000081277	PKP1	plakophilin 1	5317	https://www.ncbi.nlm.nih.gov/gene/?term=5317
ENSG00000083067	TRPM3	transient receptor potential cation channel subfamily M member 3	80036	https://www.ncbi.nlm.nih.gov/gene/?term=80036
ENSG00000085741	WNT11	Wnt family member 11	7481	https://www.ncbi.nlm.nih.gov/gene/?term=7481
ENSG00000086570	FAT2	FAT atypical cadherin 2	2196	https://www.ncbi.nlm.nih.gov/gene/?term=2196
ENSG00000088992	TESC	tescalcin	54997	https://www.ncbi.nlm.nih.gov/gene/?term=54997
ENSG00000092009	CMA1	chymase 1	1215	https://www.ncbi.nlm.nih.gov/gene/?term=1215
ENSG00000092621	PHGDH	phosphoglycerate dehydrogenase	26227	https://www.ncbi.nlm.nih.gov/gene/?term=26227
ENSG00000094755	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568	https://www.ncbi.nlm.nih.gov/gene/?term=2568
ENSG00000094963	FMO2	flavin containing monooxygenase 2	2327	https://www.ncbi.nlm.nih.gov/gene/?term=2327
ENSG00000095637	SORBS1	sorbin and SH3 domain containing 1	10580	https://www.ncbi.nlm.nih.gov/gene/?term=10580
ENSG00000095713	CRTAC1	cartilage acidic protein 1	55118	https://www.ncbi.nlm.nih.gov/gene/?term=55118
ENSG00000099260	PALMD	palmdelphin	54873	https://www.ncbi.nlm.nih.gov/gene/?term=54873
ENSG00000100142	POLR2F	RNA polymerase II subunit F	5435	https://www.ncbi.nlm.nih.gov/gene/?term=5435
ENSG00000100170	SLC5A1	solute carrier family 5 member 1	6523	https://www.ncbi.nlm.nih.gov/gene/?term=6523
ENSG00000100276	RASL10A	RAS like family 10 member A	10633	https://www.ncbi.nlm.nih.gov/gene/?term=10633
