geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	394	15	4.6846926193412015	3.2019176536943035	6.719865230109257e-5	0.0360487369935214	701;995;1063;1164;4288;4751;9088;9787;11065;22974;24137;51203;83540;146909;259266	ENSG00000066279;ENSG00000088325;ENSG00000090889;ENSG00000117650;ENSG00000117724;ENSG00000123975;ENSG00000126787;ENSG00000127564;ENSG00000137804;ENSG00000143228;ENSG00000148773;ENSG00000156970;ENSG00000158402;ENSG00000175063;ENSG00000186185
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	314	13	3.7334859961247138	3.482000471809389	9.142209235801779e-5	0.0360487369935214	1277;1289;1290;1301;1404;2191;2201;2335;3249;4148;4320;140766;255743	ENSG00000060718;ENSG00000078098;ENSG00000099953;ENSG00000105707;ENSG00000108821;ENSG00000115414;ENSG00000130635;ENSG00000132031;ENSG00000138316;ENSG00000138829;ENSG00000145681;ENSG00000168743;ENSG00000204262
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	282	12	3.353003346838119	3.5788810086682425	1.3304627814481051e-4	0.0360487369935214	332;701;1063;4288;4751;9787;24137;51203;55355;57405;83540;146909	ENSG00000089685;ENSG00000090889;ENSG00000117650;ENSG00000117724;ENSG00000123485;ENSG00000126787;ENSG00000137804;ENSG00000143228;ENSG00000148773;ENSG00000152253;ENSG00000156970;ENSG00000186185
GO:0048568	embryonic organ development	http://amigo.geneontology.org/amigo/term/GO:0048568	335	13	3.9831777347190416	3.2637258153676068	1.7436191019259972e-4	0.0360487369935214	1290;1301;2201;2625;3249;3856;3880;9620;51176;58495;79977;80736;115908	ENSG00000060718;ENSG00000075275;ENSG00000083307;ENSG00000105707;ENSG00000107485;ENSG00000125850;ENSG00000138795;ENSG00000138829;ENSG00000164932;ENSG00000170421;ENSG00000171345;ENSG00000204262;ENSG00000204385
GO:0032963	collagen metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032963	74	6	0.879866126475251	6.819219219219219	2.4138048228938835e-4	0.0360487369935214	1277;1289;2191;4320;4602;140766	ENSG00000078098;ENSG00000099953;ENSG00000108821;ENSG00000118513;ENSG00000130635;ENSG00000138316
GO:0043588	skin development	http://amigo.geneontology.org/amigo/term/GO:0043588	218	10	2.5920380482649286	3.8579680598029222	2.6979229692858375e-4	0.0360487369935214	1277;1289;1290;3624;3856;3875;3880;9620;58495;79977	ENSG00000075275;ENSG00000083307;ENSG00000108821;ENSG00000111057;ENSG00000122641;ENSG00000125850;ENSG00000130635;ENSG00000170421;ENSG00000171345;ENSG00000204262
GO:0044772	mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044772	451	15	5.362427338382949	2.7972406996797243	2.968719517113527e-4	0.0360487369935214	701;983;995;1063;1164;3161;3624;4582;4751;9088;9787;11065;22974;51514;128239	ENSG00000072571;ENSG00000088325;ENSG00000117650;ENSG00000117724;ENSG00000122641;ENSG00000123975;ENSG00000126787;ENSG00000127564;ENSG00000143476;ENSG00000156970;ENSG00000158402;ENSG00000170312;ENSG00000175063;ENSG00000183856;ENSG00000185499
GO:0090596	sensory organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0090596	186	9	2.2115553989783336	4.069534050179212	3.717804977132477e-4	0.0371661317128108	1289;1290;1301;2201;2625;3249;9620;80736;115908	ENSG00000060718;ENSG00000075275;ENSG00000105707;ENSG00000107485;ENSG00000130635;ENSG00000138829;ENSG00000164932;ENSG00000204262;ENSG00000204385
GO:0050954	sensory perception of mechanical stimulus	http://amigo.geneontology.org/amigo/term/GO:0050954	114	7	1.3554694380834948	5.164262508122157	4.1121857427772746e-4	0.0371661317128108	332;776;1277;1301;2706;3249;57214	ENSG00000060718;ENSG00000089685;ENSG00000103888;ENSG00000105707;ENSG00000108821;ENSG00000157388;ENSG00000165474
GO:0007492	endoderm development	http://amigo.geneontology.org/amigo/term/GO:0007492	54	5	0.6420644706711292	7.787379972565158	4.3724860838600943e-4	0.0371661317128108	1289;1290;1301;2335;3624	ENSG00000060718;ENSG00000115414;ENSG00000122641;ENSG00000130635;ENSG00000204262
